document_id,tag_id
a22389f7-1ddb-5959-a02b-a53556779ff1,4944675f-fa7e-5ad4-ab77-5451836e2aea
1c23d1c7-c0c0-533b-bffb-8e4852a16f10,8dfbe858-bc92-5d29-b8a9-769dc1001f20
73917888-e7a6-5511-a813-d101cce32096,d3185858-4d23-5b53-a600-6906627f5b81
f11b2730-ecc7-5ba6-b5d8-343a3b1ce8b6,d3185858-4d23-5b53-a600-6906627f5b81
19f93d91-be36-583b-83c1-e511fff95f41,4944675f-fa7e-5ad4-ab77-5451836e2aea
258c6303-3d34-577d-996c-736b5bfd9aff,559398ce-2578-5f7d-a896-8e953bd5cf05
358dcaf0-53d9-5406-b4c8-1e06bb01b2f3,be27bc24-a84e-5a96-9602-eb195a042187
d96b9be3-01fa-5400-a92e-9c99722a5ae2,d3185858-4d23-5b53-a600-6906627f5b81
f11b2730-ecc7-5ba6-b5d8-343a3b1ce8b6,779ef89a-36e4-5d6f-810f-fe606eac0ecf
1c23d1c7-c0c0-533b-bffb-8e4852a16f10,f77a3a19-925a-54ee-b41c-bcb9fbd4687a
