id,slug,name,sort_name,birth_year,death_year,bio
64690185-f7fc-56b2-a1e8-29b65549e48e,benjamin-paul-blood,Benjamin Paul Blood,Benjamin Paul Blood,,,
a6776bd4-2a8c-55d4-a05d-55c4c5acc3f8,burroughs-wellcome-and-co,Burroughs Wellcome & Co.,Burroughs Wellcome & Co.,,,
c6db30b5-0201-5204-84f1-7cc6fa4f9e6e,humphry-davy,Humphry Davy,Humphry Davy,,,
5d973c88-de83-582e-9129-571f6cdb1346,william-james,William James,William James,,,
