id,document_id,document_slug,source_url,local_path,storage_path,kind,mime_type,downloaded,sha256,byte_size,width,height
dad40bd7-2de9-558a-854d-16f6aa788df9,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 357,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-357.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-357.jpg,pdf_page_thumbnail,image/jpeg,True,e87c117e97f0194025f5b0aab053220240c389679db1c98817552eb374a3668c,29202,255,420
719a03ef-b1ad-59e1-9b97-3691f91ea819,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 358,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-358.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-358.jpg,pdf_page_thumbnail,image/jpeg,True,113da27d4075d29530c6daac5d25ed22367ef39b4537fa6a73b13d35da027d5c,28842,255,420
8a8940e3-c20d-572b-9866-7c353586639d,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 359,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-359.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-359.jpg,pdf_page_thumbnail,image/jpeg,True,0632723e1acbca4405691330d4f42d7b2530858676ff23658bd380641b80b6d0,27478,255,420
b970b90d-81eb-5430-8765-30f958c5209b,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 360,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-360.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-360.jpg,pdf_page_thumbnail,image/jpeg,True,7eb2aeb4ecf2bb56aea6c908ea58d6e2e97c46db153696756ac541e7049a93ae,30079,255,420
4d75cfe2-a64b-57b5-9d44-0499fc60c3ed,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 361,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-361.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-361.jpg,pdf_page_thumbnail,image/jpeg,True,ba51b459afec9e46e293323e297868e71d6a14230b4e21762eb694e530de0a3a,30289,255,420
5d4389dc-7c59-5a3a-aaa8-0dc2328b446b,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 362,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-362.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-362.jpg,pdf_page_thumbnail,image/jpeg,True,9c945c5112a02399c0f78484e49daca549c1604d72e25623721484c33ef7da56,31053,255,420
e6bdf2fc-6261-5101-8135-94af27575c9c,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 363,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-363.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-363.jpg,pdf_page_thumbnail,image/jpeg,True,35a6d6aba189c7daac2c9ddf65885c82b62fab86aaadfe1a4fd0ef3fee0157bd,30285,255,420
7e3939d1-2cc4-55cc-84c2-5903d85cc339,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 364,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-364.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-364.jpg,pdf_page_thumbnail,image/jpeg,True,e213b32daf5cfc4df57e3589577f07f094d863255eda4eb4b97bd843646a5e6c,30582,255,420
521c2f64-78a7-59d9-90f7-aea4ac56be0a,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 365,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-365.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-365.jpg,pdf_page_thumbnail,image/jpeg,True,c0d69cf2d961aa3a4d5c52346ac559f59626d04a3c1501537dd98f0b313c69d7,29545,255,420
034d4f49-4f59-5224-856a-58261406942e,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 366,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-366.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-366.jpg,pdf_page_thumbnail,image/jpeg,True,d33358893ba84f5d062f3e850409c6b74de767432828d0f919f43d58c35eecce,30995,255,420
